Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Shielding,Poise,Inure,Steadfast,Ethereal,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Damage %,Attack Speed,Attack Speed %,Magic Damage,Magic Damage %,Proj Damage,Proj Speed,Knockback Res.,Thorns,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect,Ice Aspect,Thunder Aspect,Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Flame,Frost,Spark,Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistent,Ashes of Eternity,Tier,Location,Health,Speed,Attack Damage,Attack Speed,Magic Damage,Tier,Location
Pirate's Vest,Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,,3.5,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Portable Defender,Isles,Tier 1,Offhand Shield,Shield,Celsian Isles,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,30%,,2,20
Prismatic Runestone,Isles,Tier 1,Wand,Quartz,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,3,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Privateer's Sabre,Isles,Tier 1,Offhand Sword,Wooden Sword,Celsian Isles,,1,,,,,,,,,,,,,,,,,,,,,,,10%,,,1,20%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10%,27%,,,2,20
Quivercrafter,Isles,Tier 1,Shovel,Wooden Shovel,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Robe of Silence,Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,,2.5,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Saguaro Cap,Isles,Tier 1,Helmet,Leather Helmet,Celsian Isles,2.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Saguaro Sarong,Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,2.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Saguaro Slippers,Isles,Tier 1,Boots,Leather Boots,Celsian Isles,2.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Saguaro Vest,Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,2.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Salubrious Shield,Isles,Tier 1,Offhand Shield,Shield,Celsian Isles,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20,,,,,2,20
Sentinel's Boots,Isles,Tier 1,Boots,Golden Boots,Celsian Isles,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Sentinel's Coat,Isles,Tier 1,Chestplate,Golden Chestplate,Celsian Isles,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Sentinel's Greaves,Isles,Tier 1,Leggings,Golden Leggings,Celsian Isles,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Sentinel's Helm,Isles,Tier 1,Helmet,Golden Helmet,Celsian Isles,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Spearfisher,Isles,Tier 1,Trident,Trident,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.1,11,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Stalwart Shortbow,Isles,Tier 1,Bow,Bow,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Stonecull Chisel,Isles,Tier 1,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Thunder Rapier,Isles,Tier 1,Sword,Golden Sword,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,6,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Trenchdigger,Isles,Tier 1,Shovel,Iron Shovel,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Viridian Staff,Isles,Tier 1,Wand,Stick,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,4,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,20
Ixume's Hunt,Valley,Epic,Leggings,Leather Leggings,Valley Delves,,,,,,,,,,,,,,,,,,,20%,,,1,,,,2,,,15%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,25,,15%,,,13,19
Kingslayer,Valley,Epic,Offhand Sword,Golden Sword,Valley Delves,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,20%,,10%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,13,19,,,27%,10%,,13,19
Myrahg's Pestilence,Valley,Epic,Trident,Trident,Valley Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.1,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,13,19,,,,,,13,19
Primordial Flames,Valley,Epic,Offhand,Blaze Powder,Valley Delves,,1.5,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,1,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,13,19,,10%,,,18%,13,19
Roar of the Valley,Valley,Epic,Bow,Bow,Valley Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,,,,,,13,19
Sliver of Perfection,Valley,Epic,Consumable,Cooked Beef,Valley Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,19,,,,,,13,19
Zanil's Regret,Valley,Epic,Boots,Chainmail Boots,Valley Delves,,2,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,,,,,,13,19
King's Crown,Valley,Epic,Helmet,Golden Helmet,Armory,3.5,,,,,,,,,,,,,,,2,,,,1,,,,,15%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,15%,,,,13,18
King's Dolabra,Valley,Epic,Pickaxe,Iron Pickaxe / Iron Axe / Iron Shovel,Armory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,13,18
King's Greaves,Valley,Epic,Leggings,Golden Leggings,Armory,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,10%,,13,18
King's Sabatons,Valley,Epic,Boots,Golden Boots,Armory,3.5,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,15%,,,13,18
King's Warden,Valley,Epic,Chestplate,Golden Chestplate,Armory,6.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,13,18
Elemental Wrath,Valley,Artifact,Wand,Stick,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,3.5,4,,,,,,,,,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Heart of the Jungle,Valley,Artifact,Consumable,Apple,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Jungle's Requiem,Valley,Artifact,Sword,Wooden Sword,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.6,,,,1,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Roots' Repose,Valley,Artifact,Scythe,Wooden Hoe,Kaul,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,5,2,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Sandals of Attunement,Valley,Artifact,Boots,Chainmail Boots,Kaul,4.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Sundew's Patience,Valley,Artifact,Bow,Bow,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,11,1,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Threads of the Thicket,Valley,Artifact,Leggings,Leather Leggings,Kaul,3.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Thunderous Greaves,Valley,Artifact,Leggings,Chainmail Leggings,Kaul,,5.5,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,12,17
Elemental Spellblade,Valley,Uncommon,Wand,Stone Sword,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,6,1.6,,,,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,,,7,17
Tome of the Jungle,Valley,Uncommon,Mainhand,Book,Kaul,,,,,,,,,,,,,,,,,,,,1,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,15%,,,,7,17
Verdant Crusher,Valley,Uncommon,Axe,Wooden Axe,Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,,,7,17
Bloodiron Pact,Valley,Artifact,Chestplate,Chainmail Chestplate,Azacor,5.5,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,20%,,,,8%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,-10,,20%,,8%,12,16
Demondance Grin,Valley,Artifact,Helmet,Player Head,Azacor,,3.5,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,12,16
Demonic Heart,Valley,Artifact,Offhand,Fermented Spider Eye,Azacor,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,1,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,10,,20%,,,12,16
Harvestman's Scythe,Valley,Artifact,Scythe,Stone Hoe,Azacor,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10,0.9,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,12,16
Lightbringer,Valley,Artifact,Trident,Trident,Azacor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.1,11,0.8,0.8,1,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,12,16
Sanguine Greaves,Valley,Artifact,Leggings,Chainmail Leggings,Azacor,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,5%,,,12,16
Whispering Chains,Valley,Artifact,Chestplate,Chainmail Chestplate,Azacor,,4,,,,,,,,,,,,,4,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,15%,,,,12,16
Wormwood Bark,Valley,Artifact,Offhand Sword,Wooden Sword,Azacor,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.5,5%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,9%,12,16
Aesir's Embrace,Valley,Uncommon,Consumable,Potion,Azacor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,,,,,,7,16
Demoncaller Boots,Valley,Uncommon,Boots,Leather Boots,Azacor,,3.5,,,,,,,,,,,,,3,,,-2,,,,,,,10%,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,-10,10%,,,,7,16
Demoncaller Pants,Valley,Uncommon,Leggings,Leather Leggings,Azacor,,3.5,,,,,,,,,,,,,,3,,-2,,,,,,,,,,,15%,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,-10,,15%,,,7,16
Demoncaller Tunic,Valley,Uncommon,Chestplate,Leather Chestplate,Azacor,,3.5,,,,,,,,,,,,,,,3,-2,,,,,,,,,,,,,15%,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,-10,,,15%,,7,16
Demonic Manifest,Valley,Uncommon,Bow,Bow,Azacor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,16,,,,,,7,16
Potion Injector,Valley,Epic,Misc,Black Shulker Box,Verdant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,13,15
Cazol's Shattered Mask,Valley,Artifact,Helmet,Player Head,Verdant,,3,,,,,,,,,1,,,,,,,2,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,10,,5%,,,12,15
Deepslate Xkelaq,Valley,Artifact,Offhand Sword,Wooden Sword,Verdant,,,,,,,,,,,1,2,,1,1,,1,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,20%,,,12,15
Furious Footfalls,Valley,Artifact,Boots,Leather Boots,Verdant,,3.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,12,15
Heartwood Wand,Valley,Artifact,Wand,Stick,Verdant,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,3.5,4,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,12,15
Marmothhide Leggings,Valley,Artifact,Leggings,Leather Leggings,Verdant,5,,,,,,,,,,1,,,,1,1,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,-5%,,,,12,15
Nightleaf Visage,Valley,Artifact,Helmet,Leather Helmet,Verdant,4.5,,1,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,-10%,,,,12,15
Scattershot Kolotl,Valley,Artifact,Crossbow,Crossbow,Verdant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,14,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,12,15
Threadwarped Tkaa,Valley,Artifact,Axe,Stone Axe,Verdant,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,11,0.8,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,12,15
Arachnidruid Cutlass,Valley,Artifact,Sword,Golden Sword,Corridors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6,,,,7,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
Blackroot's Hatred,Valley,Artifact,Wand,Stick,Corridors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,4,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
Boots of Vigor,Valley,Artifact,Boots,Leather Boots,Corridors,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,10,,,,,12,14
Breaking Wave,Valley,Artifact,Boots,Leather Boots,Corridors,,2,,,,,,,,,,2,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,12,14,,10%,,,,12,14
Burdened Stone,Valley,Artifact,Offhand,Clay Ball,Corridors,1.5,,,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,-10%,,,,12,14
C'Zanil's Talisman,Valley,Artifact,Offhand,Bone,Corridors,,,,,,,,,,,,,,,,1,1,4,,1,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,20,10%,,,,12,14
Chains of the Deep,Valley,Artifact,Leggings,Chainmail Leggings,Corridors,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
Desert Explorer,Valley,Artifact,Leggings,Leather Leggings,Corridors,,2.5,,,,,,,,,,,,,,,5,,,,,,,,25%,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,25%,,,,12,14
Edge of Death,Valley,Artifact,Chestplate,Chainmail Chestplate,Corridors,,3,,,,,,,,,,,,,,,,,,,,,,,10%,,,0.5,12%,,10%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,10%,15%,10%,,12,14
Edge of Death,Valley,Artifact,Chestplate,Chainmail Chestplate,Corridors,,3,,,,,,,,,,,,,,,,,,,,,,,10%,,,0.5,15%,,10%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,10%,18%,10%,,12,14
Elder Scales,Valley,Artifact,Helmet,Leather Helmet,Corridors,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
Exoskelehelm,Valley,Artifact,Helmet,Leather Helmet,Corridors,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
Far-Out Chakram,Valley,Artifact,Mainhand,Music Disc,Corridors,,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,12,14
